RankId,Rank,Song,Artist,Year
44,44,Mule Skinner Blues,The Fendermen,1960
45,45,Cradle of Love,Johnny Preston,1960
46,46,You Got What It Takes,Marv Johnson,1960
47,47,"Please Help Me, I'm Falling",Hank Locklin,1960
48,48,Love You So,Ron Holden,1960
49,49,Finger Poppin' Time,Hank Ballard & The Midnighters,1960
50,50,Harbor Lights,The Platters,1960
51,51,Let the Little Girl Dance,Billy Bland,1960
52,52,He'll Have to Stay,Jeanne Black,1960
53,53,Theme from The Apartment,Ferrante & Teicher,1960
54,54,Volare,Bobby Rydell,1960
55,55,A Million to One,Jimmy Charles,1960
56,56,The Village of St. Bernadette,Andy Williams,1960
57,57,White Silver Sands,Bill Black's Combo,1960
58,58,The Old Lamp-Lighter,The Browns,1960
59,59,Devil or Angel,Bobby Vee,1960
60,60,Down by the Station,The Four Preps,1960
61,61,Forever,The Little Dippers,1960
62,62,Image of a Girl,The Safaris & The Phantom's Band,1960
63,63,Kiddio,Brook Benton,1960
64,64,Mission Bell,Donnie Brooks,1960
65,65,I Love the Way You Love,Marv Johnson,1960
66,66,It's Time to Cry,Paul Anka,1960
67,67,Tell Laura I Love Her,Ray Peterson,1960
68,68,Mama,Connie Francis,1960
69,69,Footsteps,Steve Lawrence,1960
70,70,So Sad,The Everly Brothers,1960
71,71,That's All You Gotta Do,Brenda Lee,1960
72,72,Walking to New Orleans,Fats Domino,1960
73,73,Among My Souvenirs,Connie Francis,1960
74,74,Swingin' School,Bobby Rydell,1960
75,75,A Rockin' Good Way (To Mess Around and Fall in Love),Dinah Washington & Brook Benton,1960
76,76,Stairway to Heaven,Neil Sedaka,1960
77,77,My Home Town,Paul Anka,1960
78,78,Georgia on My Mind,Ray Charles,1960
79,79,Cherry Pie,Skip and Flip,1960
80,80,Wonderful World,Sam Cooke,1960
81,81,Tracy's Theme,Spencer Ross,1960
82,82,Lady Luck,Lloyd Price,1960
83,83,Step by Step,The Crests,1960
84,84,Happy-Go-Lucky Me,Paul Evans,1960
85,85,Young Emotions,Ricky Nelson,1960
86,86,Dreamin',Johnny Burnette,1960
87,87,Poetry in Motion,Johnny Tillotson,1960
88,88,O Dio Mio,Annette Funicello,1960
89,89,You Talk Too Much,Joe Jones,1960
90,90,Beatnik Fly,Johnny and the Hurricanes,1960
91,91,When Will I Be Loved,The Everly Brothers,1960
92,92,Let's Think About Living,Bob Luman,1960
93,93,Heartaches by the Number,Guy Mitchell,1960
94,94,My Little Corner of the World,Anita Bryant,1960
95,95,Doggin' Around,Jackie Wilson,1960
96,96,Little Bitty Girl,Bobby Rydell,1960
97,97,Money (That's What I Want),Barrett Strong,1960
98,98,Stay,Maurice Williams and the Zodiacs,1960
99,99,Lonely Weekends,Charlie Rich,1960
100,100,Sandy,Larry Hall,1960
101,1,Tossin' and Turnin',Bobby Lewis,1961
102,2,I Fall to Pieces,Patsy Cline,1961
103,3,Michael,The Highwaymen,1961
104,4,Crying,Roy Orbison,1961
105,5,Runaway,Del Shannon,1961
106,6,My True Story,The Jive Five,1961
107,7,Pony Time,Chubby Checker,1961
108,8,Wheels,The String-A-Longs,1961
109,9,Raindrops,Dee Clark,1961
110,10,Wooden Heart,Joe Dowell,1961
111,11,Calcutta,Lawrence Welk,1961
112,12,Take Good Care of My Baby,Bobby Vee,1961
113,13,Running Scared,Roy Orbison,1961
114,14,Dedicated to the One I Love,The Shirelles,1961
115,15,Last Night,The Mar-Keys,1961
116,16,Will You Love Me Tomorrow,The Shirelles,1961
117,17,Exodus,Ferrante & Teicher,1961
118,18,Where the Boys Are,Connie Francis,1961
119,19,Hit the Road Jack,Ray Charles,1961
120,20,Sad Movies (Make Me Cry),Sue Thompson,1961
121,21,Mother-in-Law,Ernie K-Doe,1961
122,22,Bristol Stomp,The Dovells,1961
123,23,Travelin' Man,Ricky Nelson,1961
124,24,Shop Around,The Miracles,1961
125,25,The Boll Weevil Song,Brook Benton,1961
126,26,A Hundred Pounds of Clay,Gene McDaniels,1961
127,27,The Mountain's High,Dick and Dee Dee,1961
128,28,Don't Worry,Marty Robbins,1961
129,29,On the Rebound,Floyd Cramer,1961
130,30,Portrait of My Love,Steve Lawrence,1961
131,31,Quarter to Three,Gary U.S. Bonds,1961
132,32,"Who Put the Bomp (in the Bomp, Bomp, Bomp)",Barry Mann,1961
133,33,Calendar Girl,Neil Sedaka,1961
134,34,I Like It Like That,Chris Kenner,1961
135,35,Apache,Jørgen Ingmann,1961
136,36,Don't Bet Money Honey,Linda Scott,1961
137,37,Without You,Johnny Tillotson,1961
138,38,Wings of a Dove,Ferlin Husky,1961
139,39,Little Sister,Elvis Presley,1961
140,40,Blue Moon,The Marcels,1961
141,41,Daddy's Home,Shep and the Limelites,1961
142,42,This Time,Troy Shondell,1961
143,43,(I Don't Know Why) But I Do,"Clarence ""Frogman"" Henry",1961
144,44,Asia Minor,Kokomo,1961
145,45,Hello Walls,Faron Young,1961
146,46,Runaround Sue,Dion,1961
147,47,Yellow Bird,Arthur Lyman,1961
148,48,Hurt,Timi Yuro,1961
149,49,Hello Mary Lou,Ricky Nelson,1961
150,50,There's a Moon Out Tonight,The Capris,1961
151,51,Surrender,Elvis Presley,1961
152,52,I Love How You Love Me,The Paris Sisters,1961
153,53,Ya Ya,Lee Dorsey,1961
154,54,School Is Out,Gary U.S. Bonds,1961
155,55,Mexico,Bob Moore,1961
156,56,You Don't Know What You've Got (Until You Lose It),Ral Donner,1961
157,57,Walk Right Back,The Everly Brothers,1961
158,58,The Way You Look Tonight,The Lettermen,1961
159,59,Moody River,Pat Boone,1961
160,60,One Mint Julep,Ray Charles,1961
161,61,Take Good Care of Her,Adam Wade,1961
162,62,Gee Whiz (Look at His Eyes),Carla Thomas,1961
163,63,Stand by Me,Ben E. King,1961
164,64,Spanish Harlem,Ben E. King,1961
165,65,It's Gonna Work Out Fine,Ike and Tina Turner,1961
166,66,Baby Blue,The Echoes,1961
167,67,Baby Sittin' Boogie,Buzz Clifford,1961
168,68,Hats Off to Larry,Del Shannon,1961
169,69,Those Oldies but Goodies,Little Caesar & the Romans,1961
170,70,The Fly,Chubby Checker,1961
171,71,(Marie's the Name) His Latest Flame,Elvis Presley,1961
172,72,Wonderland by Night,Bert Kaempfert,1961
173,73,Bless You,Tony Orlando,1961
174,74,I've Told Every Little Star,Linda Scott,1961
175,75,One Track Mind,Bobby Lewis,1961
176,76,Angel Baby,Rosie and the Originals,1961
177,77,Pretty Little Angel Eyes,Curtis Lee,1961
178,78,Think Twice,Brook Benton,1961
179,79,Does Your Chewing Gum Lose Its Flavour (On the Bedpost Overnight?),Lonnie Donegan,1961
180,80,Breakin' in a Brand New Broken Heart,Connie Francis,1961
181,81,Mama Said,The Shirelles,1961
182,82,Let the Four Winds Blow,Fats Domino,1961
183,83,The Writing on the Wall,Adam Wade,1961
184,84,My Kind of Girl,Matt Monro,1961
185,85,"Tonight My Love, Tonight",Paul Anka,1961
186,86,San Antonio Rose,Floyd Cramer,1961
187,87,Big Bad John,Jimmy Dean,1961
188,88,Good Time Baby,Bobby Rydell,1961
189,89,Rubber Ball,Bobby Vee,1961
190,90,Missing You,Ray Peterson,1961
191,91,Dum Dum,Brenda Lee,1961
192,92,I'm Gonna Knock on Your Door,Eddie Hodges,1961
193,93,You Can Depend on Me,Brenda Lee,1961
194,94,Let's Twist Again,Chubby Checker,1961
195,95,Take Five,The Dave Brubeck Quartet,1961
196,96,Are You Lonesome Tonight?,Elvis Presley,1961
197,97,Sea of Heartbreak,Don Gibson,1961
198,98,More Money for You and Me,The Four Preps,1961
199,99,You Must Have Been a Beautiful Baby,Bobby Darin,1961
200,100,Please Stay,The Drifters,1961
201,1,Stranger on the Shore,Acker Bilk,1962
202,2,I Can't Stop Loving You,Ray Charles,1962
203,3,Mashed Potato Time,Dee Dee Sharp,1962
204,4,Roses Are Red (My Love),Bobby Vinton,1962
205,5,The Stripper,David Rose,1962
206,6,Johnny Angel,Shelley Fabares,1962
207,7,The Loco-Motion,Little Eva,1962
208,8,Let Me In,The Sensations,1962
209,9,The Twist,Chubby Checker,1962
210,10,Soldier Boy,The Shirelles,1962
211,11,Hey! Baby,Bruce Channel,1962
212,12,The Wanderer,Dion,1962
213,13,Duke of Earl,Gene Chandler,1962
214,14,Palisades Park,Freddy Cannon,1962
215,15,Breaking Up Is Hard to Do,Neil Sedaka,1962
216,16,Wolverton Mountain,Claude King,1962
217,17,Slow Twistin',Chubby Checker & Dee Dee Sharp,1962
218,18,It Keeps Right On a-Hurtin',Johnny Tillotson,1962
219,19,The One Who Really Loves You,Mary Wells,1962
220,20,Good Luck Charm,Elvis Presley,1962
221,21,Midnight in Moscow,Kenny Ball,1962
222,22,Sheila,Tommy Roe,1962
223,23,Twistin' the Night Away,Sam Cooke,1962
224,24,The Wah-Watusi,The Orlons,1962
225,25,Peppermint Twist,Joey Dee and the Starliters,1962
226,26,Break It to Me Gently,Brenda Lee,1962
227,27,Playboy,The Marvelettes,1962
228,28,Ramblin' Rose,Nat King Cole,1962
229,29,Sealed with a Kiss,Brian Hyland,1962
230,30,She Cried,Jay and the Americans,1962
231,31,Don't Break the Heart That Loves You,Connie Francis,1962
232,32,Dear Lady Twist,Gary U.S. Bonds,1962
233,33,Norman,Sue Thompson,1962
234,34,Love Letters,Ketty Lester,1962
235,35,Party Lights,Claudine Clark,1962
236,36,Cotton Fields,The Highwaymen,1962
237,37,Alley Cat,Bent Fabric,1962
238,38,Twist and Shout,The Isley Brothers,1962
239,39,Theme from Dr. Kildare (Three Stars Will Shine Tonight),Richard Chamberlain,1962
240,40,Tuff,Ace Cannon,1962
241,41,Lover Please,Clyde McPhatter,1962
242,42,I Know (You Don't Love Me No More),Barbara George,1962
243,43,Young World,Ricky Nelson,1962
244,44,Baby It's You,The Shirelles,1962
245,45,Speedy Gonzales,Pat Boone,1962
246,46,A Little Bitty Tear,Burl Ives,1962
247,47,Crying in the Rain,The Everly Brothers,1962
248,48,Al di là,Emilio Pericoli,1962
249,49,Shout! Shout! (Knock Yourself Out),Ernie Maresca,1962
250,50,What's Your Name,Don and Juan,1962
251,51,Smoky Places,The Corsairs,1962
252,52,Having a Party,Sam Cooke,1962
253,53,Green Onions,Booker T. & the M.G.'s,1962
254,54,You Don't Know Me,Ray Charles,1962
255,55,Sherry,The Four Seasons,1962
256,56,Johnny Get Angry,Joanie Sommers,1962
257,57,Can't Help Falling in Love,Elvis Presley,1962
258,58,Shout,Joey Dee and the Starliters,1962
259,59,Rinky Dink,Dave Baby Cortez,1962
260,60,Moon River,Henry Mancini,1962
261,61,Ahab the Arab,Ray Stevens,1962
262,62,Things,Bobby Darin,1962
263,63,(The Man Who Shot) Liberty Valance,Gene Pitney,1962
264,64,You Belong to Me,The Duprees,1962
265,65,Dream Baby (How Long Must I Dream),Roy Orbison,1962
266,66,Snap Your Fingers,Joe Henderson,1962
267,67,Lovers Who Wander,Dion,1962
268,68,Let's Dance,Chris Montez,1962
269,69,Cindy's Birthday,Johnny Crawford,1962
270,70,You Beat Me to the Punch,Mary Wells,1962
271,71,You'll Lose a Good Thing,Barbara Lynn,1962
272,72,Uptown,The Crystals,1962
273,73,Everybody Loves Me But You,Brenda Lee,1962
274,74,Patches,Dickey Lee,1962
275,75,Venus in Blue Jeans,Jimmy Clanton,1962
276,76,Love Me Warm and Tender,Paul Anka,1962
277,77,Teen Age Idol,Rick Nelson,1962
278,78,She's Got You,Patsy Cline,1962
279,79,Dear One,Larry Finnegan,1962
280,80,Her Royal Majesty,James Darren,1962
281,81,Old Rivers,Walter Brennan,1962
282,82,Funny Way of Laughin',Burl Ives,1962
283,83,A Swingin' Safari,Billy Vaughn,1962
284,84,Tell Me,Dick and Dee Dee,1962
285,85,PT-109,Jimmy Dean,1962
286,86,Little Diane,Dion,1962
287,87,Percolator (Twist),Billy Joe and the Checkmates,1962
288,88,"Twist, Twist Senora",Gary U.S. Bonds,1962
289,89,Twistin' Matilda,Jimmy Soul,1962
290,90,Gravy (For My Mashed Potatoes),Dee Dee Sharp,1962
291,91,Walk on the Wild Side,Jimmy Smith,1962
292,92,Soul Twist,King Curtis,1962
293,93,I'll Never Dance Again,Bobby Rydell,1962
294,94,I'm Blue (The Gong-Gong Song),The Ikettes,1962
295,95,Where Have All the Flowers Gone?,The Kingston Trio,1962
296,96,"(Girls, Girls, Girls) Made to Love",Eddie Hodges,1962
297,97,Town Without Pity,Gene Pitney,1962
298,98,If I Had a Hammer,"Peter, Paul and Mary",1962
299,99,I Wish That We Were Married,Ronnie & the Hi-Lites,1962
300,100,Surfin' Safari,The Beach Boys,1962
301,1,"""Sugar Shack""",Jimmy Gilmer and the Fireballs,1963
302,2,"""Surfin' U.S.A.""",The Beach Boys,1963
303,3,"""The End of the World""",Skeeter Davis,1963
304,4,"""Rhythm of the Rain""",The Cascades,1963
305,5,"""He's So Fine""",The Chiffons,1963
306,6,"""Blue Velvet""",Bobby Vinton,1963
307,7,"""Hey Paula""",Paul and Paula,1963
308,8,"""Fingertips""",Stevie Wonder,1963
309,9,"""Washington Square""",The Village Stompers,1963
310,10,"""It's All Right""",The Impressions,1963
311,11,"""Can't Get Used to Losing You""",Andy Williams,1963
312,12,"""My Boyfriend's Back""",The Angels,1963
313,13,"""Sukiyaki""",Kyu Sakamoto,1963
314,14,"""She's a Fool""",Lesley Gore,1963
315,15,"""So Much in Love""",The Tymes,1963
316,16,"""Puff, the Magic Dragon""","Peter, Paul and Mary",1963
317,17,"""Blowin' in the Wind""","Peter, Paul and Mary",1963
318,18,"""I'm Leaving It Up to You""",Dale and Grace,1963
319,19,"""Deep Purple""",Nino Tempo & April Stevens,1963
320,20,"""Wipe Out""",The Surfaris,1963
321,21,"""I Love You Because""",Al Martino,1963
322,22,"""Wild Weekend""",The Rebels,1963
323,23,"""You're the Reason I'm Living""",Bobby Darin,1963
324,24,"""Walk Like a Man""",The Four Seasons,1963
325,25,"""Mockingbird""",Inez and Charlie Foxx,1963
326,26,"""I Will Follow Him""",Little Peggy March,1963
327,27,"""Pipeline""",The Chantays,1963
328,28,"""Surf City""",Jan and Dean,1963
329,29,"""It's My Party""",Lesley Gore,1963
330,30,"""Blame It on the Bossa Nova""",Eydie Gormé,1963
331,31,"""You Can't Sit Down""",The Dovells,1963
332,32,"""Heat Wave""",Martha and the Vandellas,1963
333,33,"""Denise""",Randy & the Rainbows,1963
334,34,"""Walk Right In""",The Rooftop Singers,1963
335,35,"""If You Wanna Be Happy""",Jimmy Soul,1963
336,36,"""Surfer Girl""",The Beach Boys,1963
337,37,"""If I Had a Hammer""",Trini Lopez,1963
338,38,"""Everybody""",Tommy Roe,1963
339,39,"""Easier Said Than Done""",The Essex,1963
340,40,"""Ruby Baby""",Dion,1963
341,41,"""Maria Elena""",Los Indios Tabajaras,1963
342,42,"""Our Day Will Come""",Ruby & the Romantics,1963
343,43,"""I Can't Stay Mad at You""",Skeeter Davis,1963
344,44,"""Hello Stranger""",Barbara Lewis,1963
345,45,"""Be My Baby""",The Ronettes,1963
346,46,"""Mean Woman Blues""",Roy Orbison,1963
347,47,"""South Street""",The Orlons,1963
348,48,"""Days of Wine and Roses""",Henry Mancini,1963
349,49,"""The Monkey Time""",Major Lance,1963
350,50,"""Candy Girl""",The Four Seasons,1963
351,51,"""Still""",Bill Anderson,1963
352,52,"""Blue on Blue""",Bobby Vinton,1963
353,53,"""Cry Baby""",Garnet Mimms & the Enchanters,1963
354,54,"""Two Faces Have I""",Lou Christie,1963
355,55,"""Busted""",Ray Charles,1963
356,56,"""Da Doo Ron Ron""",The Crystals,1963
357,57,"""Foolish Little Girl""",The Shirelles,1963
358,58,"""Memphis""",Lonnie Mack,1963
359,59,"""In Dreams""",Roy Orbison,1963
360,60,"""More""",Kai Winding,1963
361,61,"""Fools Rush In""",Rick Nelson,1963
362,62,"""Losing You (Brenda Lee song)""",Brenda Lee,1963
363,63,"""Our Winter Love""",Bill Pursell,1963
364,64,"""I Wanna Be Around""",Tony Bennett,1963
365,65,"""You've Really Got a Hold on Me""",The Miracles,1963
366,66,"""Sally Go 'Round the Roses""",The Jaynetts,1963
367,67,"""Little Red Rooster""",Sam Cooke,1963
368,68,"""Then He Kissed Me""",The Crystals,1963
369,69,"""(You're the) Devil in Disguise""",Elvis Presley,1963
370,70,"""Those Lazy-Hazy-Crazy Days of Summer""",Nat King Cole,1963
371,71,"""Baby Workout""",Jackie Wilson,1963
372,72,"""Pride and Joy""",Marvin Gaye,1963
373,73,"""Walking the Dog""",Rufus Thomas,1963
374,74,"""From a Jack to a King""",Ned Miller,1963
375,75,"""Up on the Roof""",The Drifters,1963
376,76,"""What Will Mary Say""",Johnny Mathis,1963
377,77,"""Mama Didn't Lie""",Jan Bradley,1963
378,78,"""The Night Has a Thousand Eyes""",Bobby Vee,1963
379,79,"""Don't Say Nothin' Bad (About My Baby)""",The Cookies,1963
380,80,"""Ring of Fire""",Johnny Cash,1963
381,81,"""Just One Look""",Doris Troy,1963
382,82,"""Hello Muddah, Hello Fadduh (A Letter from Camp)""",Allan Sherman,1963
383,83,"""Judy's Turn to Cry""",Lesley Gore,1963
384,84,"""Tie Me Kangaroo Down, Sport""",Rolf Harris,1963
385,85,"""Mickey's Monkey""",The Miracles,1963
386,86,"""Donna the Prima Donna""",Dion,1963
387,87,"""That Sunday, That Summer""",Nat King Cole,1963
388,88,"""Another Saturday Night""",Sam Cooke,1963
389,89,"""Painted, Tainted Rose""",Al Martino,1963
390,90,"""(Down At) Papa Joe's""",Dixie Belles,1963
391,91,"""Go Away Little Girl""",Steve Lawrence,1963
392,92,"""Take These Chains from My Heart""",Ray Charles,1963
393,93,"""Talk to Me""",Sunny & the Sunglows,1963
394,94,"""Come and Get These Memories""",Martha and the Vandellas,1963
395,95,"""Bossa Nova Baby""",Elvis Presley,1963
396,96,"""Do the Bird""",Dee Dee Sharp,1963
397,97,"""Shut Down""",The Beach Boys,1963
398,98,"""One Fine Day""",The Chiffons,1963
399,99,"""500 Miles""",Bobby Bare,1963
400,100,"""Little Town Flirt""",Del Shannon,1963
401,1,I Want to Hold Your Hand,The Beatles,1964
402,2,She Loves You,The Beatles,1964
403,3,"Hello, Dolly!",Louis Armstrong,1964
404,4,"Oh, Pretty Woman",Roy Orbison,1964
405,5,I Get Around,The Beach Boys,1964
406,6,Everybody Loves Somebody,Dean Martin,1964
407,7,My Guy,Mary Wells,1964
408,8,We'll Sing in the Sunshine,Gale Garnett,1964
409,9,Last Kiss,J. Frank Wilson & the Cavaliers,1964
410,10,Where Did Our Love Go,The Supremes,1964
411,11,People,Barbra Streisand,1964
412,12,Java,Al Hirt,1964
413,13,A Hard Day's Night,The Beatles,1964
414,14,Love Me Do,The Beatles,1964
415,15,Do Wah Diddy Diddy,Manfred Mann,1964
416,16,Please Please Me,The Beatles,1964
417,17,Dancing in the Street,Martha and the Vandellas,1964
418,18,Little Children,Billy J. Kramer & The Dakotas,1964
419,19,Love Me with All Your Heart (Cuando Calienta El Sol),The Ray Charles Singers,1964
420,20,Under the Boardwalk,The Drifters,1964
421,21,Chapel of Love,The Dixie Cups,1964
422,22,Suspicion,Terry Stafford,1964
423,23,Glad All Over,The Dave Clark Five,1964
424,24,Rag Doll,The Four Seasons,1964
425,25,Dawn (Go Away),The Four Seasons,1964
426,26,Bread and Butter,The Newbeats,1964
427,27,It Hurts to Be in Love,Gene Pitney,1964
428,28,Dead Man's Curve,Jan and Dean,1964
429,29,Come a Little Bit Closer,Jay and the Americans,1964
430,30,A World Without Love,Peter and Gordon,1964
431,31,Have I the Right?,The Honeycombs,1964
432,32,Don't Let the Rain Come Down (Crooked Little Man),The Serendipity Singers,1964
433,33,Baby Love,The Supremes,1964
434,34,Let It Be Me,Betty Everett & Jerry Butler,1964
435,35,Wishin' and Hopin',Dusty Springfield,1964
436,36,You Don't Own Me,Lesley Gore,1964
437,37,Walk On By,Dionne Warwick,1964
438,38,The House of the Rising Sun,The Animals,1964
439,39,G.T.O.,Ronny & the Daytonas,1964
440,40,Twist and Shout,The Beatles,1964
441,41,Memphis,Johnny Rivers,1964
442,42,White on White,Danny Williams,1964
443,43,Hey Little Cobra,The Rip Chords,1964
444,44,The Shoop Shoop Song (It's in His Kiss),Betty Everett,1964
445,45,Bits and Pieces,The Dave Clark Five,1964
446,46,My Boy Lollipop,Millie Small,1964
447,47,"Um, Um, Um, Um, Um, Um",Major Lance,1964
448,48,The Little Old Lady from Pasadena,Jan and Dean,1964
449,49,Don't Let the Sun Catch You Crying,Gerry and the Pacemakers,1964
450,50,A Summer Song,Chad & Jeremy,1964
451,51,The Girl from Ipanema,Stan Getz & Astrud Gilberto,1964
452,52,Can't Buy Me Love,The Beatles,1964
453,53,Remember (Walking in the Sand),The Shangri-Las,1964
454,54,C'mon and Swim,Bobby Freeman,1964
455,55,Do You Want to Know a Secret,The Beatles,1964
456,56,Keep On Pushing,The Impressions,1964
457,57,Baby I Need Your Loving,The Four Tops,1964
458,58,Navy Blue,Diane Renay,1964
459,59,Diane,The Bachelors,1964
460,60,Out of Limits,The Marketts,1964
461,61,Little Honda,The Hondells,1964
462,62,Chug-a-Lug,Roger Miller,1964
463,63,See the Funny Little Clown,Bobby Goldsboro,1964
464,64,Because,The Dave Clark Five,1964
465,65,(Just Like) Romeo and Juliet,The Reflections,1964
466,66,For You,Rick Nelson,1964
467,67,Today,The New Christy Minstrels,1964
468,68,Can't You See That She's Mine,The Dave Clark Five,1964
469,69,Leader of the Pack,The Shangri-Las,1964
470,70,Funny How Time Slips Away,Joe Hinton,1964
471,71,The Way You Do the Things You Do,The Temptations,1964
472,72,Anyone Who Had a Heart,Dionne Warwick,1964
473,73,I Love You More and More Every Day,Al Martino,1964
474,74,It's Over,Roy Orbison,1964
475,75,Ronnie,The Four Seasons,1964
476,76,Surfin' Bird,The Trashmen,1964
477,77,What Kind of Fool (Do You Think I Am),The Tams,1964
478,78,The Door Is Still Open to My Heart,Dean Martin,1964
479,79,You Really Got Me,The Kinks,1964
480,80,The Shelter of Your Arms,Sammy Davis Jr.,1964
481,81,I'm So Proud,The Impressions,1964
482,82,I Wanna Love Him So Bad,The Jelly Beans,1964
483,83,Dang Me,Roger Miller,1964
484,84,Cotton Candy,Al Hirt,1964
485,85,(You Don't Know) How Glad I Am,Nancy Wilson,1964
486,86,Money (That's What I Want),The Kingsmen,1964
487,87,Don't Throw Your Love Away,The Searchers,1964
488,88,Hi-Heel Sneakers,Tommy Tucker,1964
489,89,How Do You Do It?,Gerry and the Pacemakers,1964
490,90,"Walk, Don't Run '64",The Ventures,1964
491,91,Do You Love Me,The Dave Clark Five,1964
492,92,Shangri-La,Robert Maxwell,1964
493,93,Haunted House,Jumpin' Gene Simmons,1964
494,94,Steal Away,Jimmy Hughes,1964
495,95,I Saw Her Standing There,The Beatles,1964
496,96,A Fool Never Learns,Andy Williams,1964
497,97,Bad to Me,Billy J. Kramer & The Dakotas,1964
498,98,There! I've Said It Again,Bobby Vinton,1964
499,99,Louie Louie,The Kingsmen,1964
500,100,Needles and Pins,The Searchers,1964
501,1,Wooly Bully,Sam the Sham and the Pharaohs,1965
502,2,I Can't Help Myself (Sugar Pie Honey Bunch),Four Tops,1965
503,3,(I Can't Get No) Satisfaction,The Rolling Stones,1965
504,4,You Were on My Mind,We Five,1965
505,5,You've Lost That Lovin' Feelin',The Righteous Brothers,1965
506,6,Downtown,Petula Clark,1965
507,7,Help!,The Beatles,1965
508,8,Can't You Hear My Heartbeat,Herman's Hermits,1965
509,9,Crying in the Chapel,Elvis Presley,1965
510,10,My Girl,The Temptations,1965
511,11,"Help Me, Rhonda",The Beach Boys,1965
512,12,King of the Road,Roger Miller,1965
513,13,The Birds and the Bees,Jewel Akens,1965
514,14,"Hold Me, Thrill Me, Kiss Me",Mel Carter,1965
515,15,Shotgun,Jr. Walker & the All Stars,1965
516,16,I Got You Babe,Sonny & Cher,1965
517,17,This Diamond Ring,Gary Lewis & the Playboys,1965
518,18,The 'In' Crowd,Ramsey Lewis Trio,1965
519,19,"Mrs. Brown, You've Got a Lovely Daughter",Herman's Hermits,1965
520,20,Stop! In the Name of Love,The Supremes,1965
521,21,Unchained Melody,The Righteous Brothers,1965
522,22,Silhouettes,Herman's Hermits,1965
523,23,I'll Never Find Another You,The Seekers,1965
524,24,Cara Mia,Jay and the Americans,1965
525,25,Mr. Tambourine Man,The Byrds,1965
526,26,Cast Your Fate to the Wind,Sounds Orchestral,1965
527,27,"Yes, I'm Ready",Barbara Mason,1965
528,28,What's New Pussycat?,Tom Jones,1965
529,29,Eve of Destruction,Barry McGuire,1965
530,30,Hang On Sloopy,The McCoys,1965
531,31,Ticket to Ride,The Beatles,1965
532,32,Red Roses for a Blue Lady,Bert Kaempfert,1965
533,33,Papa's Got a Brand New Bag,James Brown,1965
534,34,Game of Love,Wayne Fontana & The Mindbenders,1965
535,35,The Name Game,Shirley Ellis,1965
536,36,I Know a Place,Petula Clark,1965
537,37,Back in My Arms Again,The Supremes,1965
538,38,Baby I'm Yours,Barbara Lewis,1965
539,39,The Jolly Green Giant,The Kingsmen,1965
540,40,"Hush, Hush, Sweet Charlotte",Patti Page,1965
541,41,Like a Rolling Stone,Bob Dylan,1965
542,42,I'm Telling You Now,Freddie and the Dreamers,1965
543,43,Ferry Cross the Mersey,Gerry and the Pacemakers,1965
544,44,Just Once in My Life,The Righteous Brothers,1965
545,45,The Seventh Son,Johnny Rivers,1965
546,46,"I'm Henry the Eighth, I Am",Herman's Hermits,1965
547,47,A Walk in the Black Forest,Horst Jankowski,1965
548,48,For Your Love,The Yardbirds,1965
549,49,California Girls,The Beach Boys,1965
550,50,Go Now,The Moody Blues,1965
