rankid,rank,song,artist,year
"3054","54","The Rhythm of the Night","Corona","1995"
"3055","55","Roll to Me","Del Amitri","1995"
"3056","56","Scream","Michael Jackson and Janet Jackson","1995"
"3057","57","Freek'n You","Jodeci","1995"
"3058","58","I Wish","Skee-Lo","1995"
"3059","59","Believe","Elton John","1995"
"3060","60","Carnival","Natalie Merchant","1995"
"3061","61","You Don't Know How It Feels","Tom Petty","1995"
"3062","62","Back for Good","Take That","1995"
"3063","63","Tootsee Roll","69 Boyz","1995"
"3064","64","You Want This","Janet Jackson","1995"
"3065","65","Tell Me","Groove Theory","1995"
"3066","66","Can't You See","Total featuring The Notorious B.I.G.","1995"
"3067","67","All I Wanna Do","Sheryl Crow","1995"
"3068","68","This Lil' Game We Play","Subway featuring 702","1995"
"3069","69","Come and Get Your Love","Real McCoy","1995"
"3070","70","This Ain't a Love Song","Bon Jovi","1995"
"3071","71","Secret","Madonna","1995"
"3072","72","Player's Anthem","Junior M.A.F.I.A. featuring The Notorious B.I.G.","1995"
"3073","73","Feel Me Flow","Naughty by Nature","1995"
"3074","74","Every Day of the Week","Jade","1995"
"3075","75","The Sweetest Days","Vanessa Williams","1995"
"3076","76","Short Dick Man","20 Fingers featuring Gillette","1995"
"3077","77","Brokenhearted","Brandy featuring Wanya Morris","1995"
"3078","78","No More I Love You's","Annie Lennox","1995"
"3079","79","You Used to Love Me","Faith Evans","1995"
"3080","80","Constantly","Immature","1995"
"3081","81","Hold Me, Thrill Me, Kiss Me, Kill Me","U2","1995"
"3082","82","100% Pure Love","Crystal Waters","1995"
"3083","83","Ask of You","Raphael Saadiq","1995"
"3084","84","Sugar Hill","AZ","1995"
"3085","85","Good","Better Than Ezra","1995"
"3086","86","Brown Sugar","D'Angelo","1995"
"3087","87","Turn the Beat Around","Gloria Estefan","1995"
"3088","88","'Til You Do Me Right","After 7","1995"
"3089","89","1st of tha Month","Bone Thugs-n-Harmony","1995"
"3090","90","Like the Way I Do","Melissa Etheridge","1995"
"3091","91","I Live My Life for You","FireHouse","1995"
"3092","92","Dream About You","Stevie B","1995"
"3093","93","Cotton Eye Joe","Rednex","1995"
"3094","94","Thank You","Boyz II Men","1995"
"3095","95","I'll Stand by You","The Pretenders","1995"
"3096","96","I Miss You","N II U","1995"
"3097","97","Give It 2 You","Da Brat","1995"
"3098","98","Best Friend","Brandy","1995"
"3099","99","Misery","Soul Asylum","1995"
"3100","100","Can't Stop Lovin' You","Van Halen","1995"
"3101","1","Macarena (Bayside Boys Mix)","Los del Río","1996"
"3102","2","One Sweet Day","Mariah Carey and Boyz II Men","1996"
"3103","3","Because You Loved Me","Celine Dion","1996"
"3104","4","Nobody Knows","The Tony Rich Project","1996"
"3105","5","Always Be My Baby","Mariah Carey","1996"
"3106","6","Give Me One Reason","Tracy Chapman","1996"
"3107","7","Tha Crossroads","Bone Thugs-n-Harmony","1996"
"3108","8","I Love You Always Forever","Donna Lewis","1996"
"3109","9","You're Makin' Me High / Let It Flow","Toni Braxton","1996"
"3110","10","Twisted","Keith Sweat","1996"
"3111","11","C'mon N' Ride It (The Train)","Quad City DJ's","1996"
"3112","12","Missing","Everything but the Girl","1996"
"3113","13","Ironic","Alanis Morissette","1996"
"3114","14","Exhale (Shoop Shoop)","Whitney Houston","1996"
"3115","15","Follow You Down / Til I Hear It from You","Gin Blossoms","1996"
"3116","16","Sittin' Up in My Room","Brandy","1996"
"3117","17","How Do U Want It / California Love","2Pac featuring K-Ci and JoJo","1996"
"3118","18","It's All Coming Back to Me Now","Celine Dion","1996"
"3119","19","Change the World","Eric Clapton","1996"
"3120","20","Hey Lover","LL Cool J","1996"
"3121","21","Loungin","LL Cool J","1996"
"3122","22","Insensitive","Jann Arden","1996"
"3123","23","Be My Lover","La Bouche","1996"
"3124","24","Name","Goo Goo Dolls","1996"
"3125","25","Who Will Save Your Soul","Jewel","1996"
"3126","26","Where Do You Go","No Mercy","1996"
"3127","27","I Can't Sleep Baby (If I)","R. Kelly","1996"
"3128","28","Counting Blue Cars","Dishwalla","1996"
"3129","29","You Learn / You Oughta Know","Alanis Morissette","1996"
"3130","30","One of Us","Joan Osborne","1996"
"3131","31","Wonder","Natalie Merchant","1996"
"3132","32","Not Gon' Cry","Mary J. Blige","1996"
"3133","33","Gangsta's Paradise","Coolio featuring L.V.","1996"
"3134","34","Only You","112 featuring The Notorious B.I.G. and Mase","1996"
"3135","35","Down Low (Nobody Has to Know)","R. Kelly featuring The Isley Brothers","1996"
"3136","36","You're the One","SWV","1996"
"3137","37","Sweet Dreams","La Bouche","1996"
"3138","38","Before You Walk Out of My Life / Like This and Like That","Monica","1996"
"3139","39","Breakfast at Tiffany's","Deep Blue Something","1996"
"3140","40","1, 2, 3, 4 (Sumpin' New)","Coolio","1996"
"3141","41","The World I Know","Collective Soul","1996"
"3142","42","No Diggity","Blackstreet featuring Dr. Dre","1996"
"3143","43","Anything","3T","1996"
"3144","44","1979","The Smashing Pumpkins","1996"
"3145","45","Diggin' on You","TLC","1996"
"3146","46","Why I Love You So Much / Ain't Nobody","Monica","1996"
"3147","47","Kissin' You","Total","1996"
"3148","48","Count On Me","Whitney Houston featuring CeCe Winans","1996"
"3149","49","Fantasy","Mariah Carey","1996"
"3150","50","Time","Hootie & the Blowfish","1996"
"3151","51","You'll See","Madonna","1996"
"3152","52","Last Night","Az Yet","1996"
"3153","53","Mouth","Merril Bainbridge","1996"
"3154","54","The Earth, the Sun, the Rain","Color Me Badd","1996"
"3155","55","All the Things (Your Man Won't Do)","Joe","1996"
"3156","56","Wonderwall","Oasis","1996"
"3157","57","Woo Hah!! Got You All in Check","Busta Rhymes","1996"
"3158","58","Tell Me","Groove Theory","1996"
"3159","59","Elevators (Me & You)","Outkast","1996"
"3160","60","Hook","Blues Traveler","1996"
"3161","61","Doin' It","LL Cool J","1996"
"3162","62","Fastlove","George Michael","1996"
"3163","63","Touch Me, Tease Me","Case featuring Foxy Brown","1996"
"3164","64","Tonite's tha Night","Kris Kross","1996"
"3165","65","Children","Robert Miles","1996"
"3166","66","Theme from Mission: Impossible","Adam Clayton and Larry Mullen","1996"
"3167","67","Closer to Free","BoDeans","1996"
"3168","68","Just a Girl","No Doubt","1996"
"3169","69","If Your Girl Only Knew","Aaliyah","1996"
"3170","70","Lady","D'Angelo","1996"
"3171","71","Key West Intermezzo (I Saw You First)","John Mellencamp","1996"
"3172","72","Pony","Ginuwine","1996"
"3173","73","Nobody","Keith Sweat featuring Athena Cage","1996"
"3174","74","Old Man and Me (When I Get To Heaven)","Hootie & the Blowfish","1996"
"3175","75","If It Makes You Happy","Sheryl Crow","1996"
"3176","76","As I Lay Me Down","Sophie B. Hawkins","1996"
"3177","77","Keep On, Keepin' On","MC Lyte featuring Xscape","1996"
"3178","78","Jealousy","Natalie Merchant","1996"
"3179","79","I Want to Come Over","Melissa Etheridge","1996"
"3180","80","Who Do U Love","Deborah Cox","1996"
"3181","81","Un-Break My Heart","Toni Braxton","1996"
"3182","82","This Is Your Night","Amber","1996"
"3183","83","You Remind Me of Something","R. Kelly","1996"
"3184","84","Runaway","Janet Jackson","1996"
"3185","85","Set U Free","Planet Soul","1996"
"3186","86","Hit Me Off","New Edition","1996"
"3187","87","No One Else","Total","1996"
"3188","88","My Boo","Ghost Town DJ's","1996"
"3189","89","Get Money","Junior M.A.F.I.A. featuring The Notorious B.I.G.","1996"
"3190","90","That Girl","Maxi Priest featuring Shaggy","1996"
"3191","91","Po Pimp","Do or Die featuring Twista","1996"
"3192","92","Until It Sleeps","Metallica","1996"
"3193","93","Hay","Crucial Conflict","1996"
"3194","94","Beautiful Life","Ace of Base","1996"
"3195","95","Back for Good","Take That","1996"
"3196","96","I Got Id","Pearl Jam","1996"
"3197","97","Soon as I Get Home","Faith Evans","1996"
"3198","98","Macarena","Los del Río","1996"
"3199","99","Only Wanna Be with You","Hootie & the Blowfish","1996"
"3200","100","Don't Cry","Seal","1996"
"3201","1","Something About the Way You Look Tonight / Candle in the Wind 1997","Elton John","1997"
"3202","2","Foolish Games / You Were Meant for Me","Jewel","1997"
"3203","3","I'll Be Missing You","Puff Daddy featuring Faith Evans and 112","1997"
"3204","4","Un-Break My Heart","Toni Braxton","1997"
"3205","5","Can't Nobody Hold Me Down","Puff Daddy featuring Mase","1997"
"3206","6","I Believe I Can Fly","R. Kelly","1997"
"3207","7","Don't Let Go (Love)","En Vogue","1997"
"3208","8","Return of the Mack","Mark Morrison","1997"
"3209","9","How Do I Live","LeAnn Rimes","1997"
"3210","10","Wannabe","Spice Girls","1997"
"3211","11","Quit Playing Games (With My Heart)","Backstreet Boys","1997"
"3212","12","MMMBop","Hanson","1997"
"3213","13","For You I Will","Monica","1997"
"3214","14","You Make Me Wanna...","Usher","1997"
"3215","15","Bitch","Meredith Brooks","1997"
"3216","16","Nobody","Keith Sweat featuring Athena Cage","1997"
"3217","17","Semi-Charmed Life","Third Eye Blind","1997"
"3218","18","Barely Breathing","Duncan Sheik","1997"
"3219","19","Hard to Say I'm Sorry","Az Yet featuring Peter Cetera","1997"
"3220","20","Mo Money Mo Problems","The Notorious B.I.G. featuring Puff Daddy and Mase","1997"
"3221","21","The Freshmen","The Verve Pipe","1997"
"3222","22","I Want You","Savage Garden","1997"
"3223","23","No Diggity","Blackstreet featuring Dr. Dre","1997"
"3224","24","I Belong to You (Every Time I See Your Face)","Rome","1997"
"3225","25","Hypnotize","The Notorious B.I.G.","1997"
"3226","26","Every Time I Close My Eyes","Babyface","1997"
"3227","27","In My Bed","Dru Hill","1997"
"3228","28","Say You'll Be There","Spice Girls","1997"
"3229","29","Do You Know (What It Takes)","Robyn","1997"
"3230","30","4 Seasons of Loneliness","Boyz II Men","1997"
"3231","31","G.H.E.T.T.O.U.T.","Changing Faces","1997"
"3232","32","Honey","Mariah Carey","1997"
"3233","33","I Believe in You and Me","Whitney Houston","1997"
"3234","34","Da' Dip","Freak Nasty","1997"
"3235","35","2 Become 1","Spice Girls","1997"
"3236","36","All for You","Sister Hazel","1997"
"3237","37","Cupid","112","1997"
"3238","38","Where Have All the Cowboys Gone?","Paula Cole","1997"
"3239","39","Sunny Came Home","Shawn Colvin","1997"
"3240","40","It's Your Love","Tim McGraw and Faith Hill","1997"
"3241","41","Ooh Aah... Just a Little Bit","Gina G","1997"
"3242","42","Mouth","Merril Bainbridge","1997"
"3243","43","All Cried Out","Allure featuring 112","1997"
"3244","44","I'm Still in Love with You","New Edition","1997"
"3245","45","Invisible Man","98 Degrees","1997"
"3246","46","Not Tonight","Lil' Kim featuring Da Brat, Left Eye, Missy Elliott and Angie Martinez","1997"
"3247","47","Look into My Eyes","Bone Thugs-n-Harmony","1997"
"3248","48","Get It Together","702","1997"
"3249","49","All by Myself","Celine Dion","1997"
"3250","50","It's All Coming Back to Me Now","Celine Dion","1997"
"3251","51","My Love Is the Shhh!","Somethin' for the People featuring Trina & Tamara","1997"
"3252","52","Where Do You Go","No Mercy","1997"
"3253","53","I Finally Found Someone","Barbra Streisand and Bryan Adams","1997"
"3254","54","I'll Be","Foxy Brown featuring Jay-Z","1997"
"3255","55","If It Makes You Happy","Sheryl Crow","1997"
"3256","56","Never Make a Promise","Dru Hill","1997"
"3257","57","When You Love a Woman","Journey","1997"
"3258","58","Up Jumps da Boogie","Timbaland & Magoo featuring Missy Elliott and Aaliyah","1997"
"3259","59","I Don't Want To / I Love Me Some Him","Toni Braxton","1997"
"3260","60","Everyday Is a Winding Road","Sheryl Crow","1997"
"3261","61","Cold Rock a Party","MC Lyte","1997"
"3262","62","Pony","Ginuwine","1997"
"3263","63","Building a Mystery","Sarah McLachlan","1997"
"3264","64","I Love You Always Forever","Donna Lewis","1997"
"3265","65","Your Woman","White Town","1997"
"3266","66","C U When U Get There","Coolio featuring 40 Thevz","1997"
"3267","67","Change the World","Eric Clapton","1997"
"3268","68","My Baby Daddy","B-Rock and the Bizz","1997"
"3269","69","Tubthumping","Chumbawamba","1997"
"3270","70","Gotham City","R. Kelly","1997"
"3271","71","Last Night","Az Yet","1997"
"3272","72","ESPN Presents The Jock Jam","Various Artists","1997"
"3273","73","Big Daddy","Heavy D","1997"
"3274","74","What About Us","Total","1997"
"3275","75","Smile","Scarface featuring 2Pac and Johnny P.","1997"
"3276","76","What's on Tonight","Montell Jordan","1997"
"3277","77","Secret Garden","Bruce Springsteen","1997"
"3278","78","The One I Gave My Heart To","Aaliyah","1997"
"3279","79","Fly Like an Eagle","Seal","1997"
"3280","80","No Time","Lil' Kim featuring Puff Daddy","1997"
"3281","81","Naked Eye","Luscious Jackson","1997"
"3282","82","Macarena (Bayside Boys Mix)","Los del Río","1997"
"3283","83","On & On","Erykah Badu","1997"
"3284","84","Don't Wanna Be a Player","Joe","1997"
"3285","85","I Shot the Sheriff","Warren G","1997"
"3286","86","You Should Be Mine (Don't Waste Your Time)","Brian McKnight featuring Mase","1997"
"3287","87","Don't Cry for Me Argentina","Madonna","1997"
"3288","88","Someone","SWV and Puff Daddy","1997"
"3289","89","Go the Distance","Michael Bolton","1997"
"3290","90","One More Time","Real McCoy","1997"
"3291","91","Butta Love","Next","1997"
"3292","92","Coco Jambo","Mr. President","1997"
"3293","93","Twisted","Keith Sweat","1997"
"3294","94","Barbie Girl","Aqua","1997"
"3295","95","When You're Gone / Free to Decide","The Cranberries","1997"
"3296","96","Let Me Clear My Throat","DJ Kool","1997"
"3297","97","I Like It","The Blackout All-Stars","1997"
"3298","98","You're Makin' Me High / Let It Flow","Toni Braxton","1997"
"3299","99","You Must Love Me","Madonna","1997"
"3300","100","Let It Go","Ray J","1997"
"3301","1","Too Close","Next","1998"
"3302","2","The Boy Is Mine","Brandy and Monica","1998"
"3303","3","You're Still the One","Shania Twain","1998"
"3304","4","Truly Madly Deeply","Savage Garden","1998"
"3305","5","How Do I Live","LeAnn Rimes","1998"
"3306","6","Together Again","Janet","1998"
"3307","7","All My Life","K-Ci & JoJo","1998"
"3308","8","Candle in the Wind 1997","Elton John","1998"
"3309","9","Nice & Slow","Usher","1998"
"3310","10","I Don't Want to Wait","Paula Cole","1998"
"3311","11","How's It Going to Be","Third Eye Blind","1998"
"3312","12","No, No, No","Destiny's Child","1998"
"3313","13","My Heart Will Go On","Celine Dion","1998"
"3314","14","Gettin' Jiggy wit It","Will Smith","1998"
"3315","15","You Make Me Wanna...","Usher","1998"
"3316","16","My Way","Usher","1998"
"3317","17","My All","Mariah Carey","1998"
"3318","18","The First Night","Monica","1998"
"3319","19","Been Around the World","Puff Daddy featuring The Notorious B.I.G. and Mase","1998"
"3320","20","Adia","Sarah McLachlan","1998"
"3321","21","Crush","Jennifer Paige","1998"
"3322","22","Everybody (Backstreet's Back)","Backstreet Boys","1998"
"3323","23","I Don't Want to Miss a Thing","Aerosmith","1998"
"3324","24","Body Bumpin' (Yippie-Yi-Yo)","Public Announcement","1998"
"3325","25","This Kiss","Faith Hill","1998"
"3326","26","I Don't Ever Want to See You Again","Uncle Sam","1998"
"3327","27","Let's Ride","Montell Jordan featuring Master P and Silkk the Shocker","1998"
"3328","28","Sex and Candy","Marcy Playground","1998"
"3329","29","Show Me Love","Robyn","1998"
"3330","30","A Song for Mama","Boyz II Men","1998"
"3331","31","What You Want","Mase featuring Total","1998"
"3332","32","Frozen","Madonna","1998"
"3333","33","Gone till November","Wyclef Jean","1998"
"3334","34","My Body","LSG","1998"
"3335","35","Tubthumping","Chumbawamba","1998"
"3336","36","Deja Vu (Uptown Baby)","Lord Tariq and Peter Gunz","1998"
"3337","37","I Want You Back","'N Sync","1998"
"3338","38","When the Lights Go Out","Five","1998"
"3339","39","They Don't Know","Jon B.","1998"
"3340","40","Make 'Em Say Uhh!","Master P featuring Fiend, Silkk the Shocker, Mia X and Mystikal","1998"
"3341","41","Make It Hot","Nicole featuring Missy Elliott and Mocha","1998"
"3342","42","Never Ever","All Saints","1998"
"3343","43","I Get Lonely","Janet Jackson featuring Blackstreet","1998"
"3344","44","Feel So Good","Mase featuring Kelly Price","1998"
"3345","45","Say It","Voices of Theory","1998"
"3346","46","Kiss the Rain","Billie Myers","1998"
"3347","47","Come with Me","Puff Daddy featuring Jimmy Page","1998"
"3348","48","Romeo and Juliet","Sylk-E. Fyne featuring Chill","1998"
"3349","49","It's All About Me","Mýa and Sisqo","1998"
"3350","50","I Will Come to You","Hanson","1998"
"3351","51","One Week","Barenaked Ladies","1998"
"3352","52","Swing My Way","K. P. & Envyi","1998"
"3353","53","The Arms of the One Who Loves You","Xscape","1998"
"3354","54","My Love Is the Shhh!","Somethin' for the People featuring Trina & Tamara","1998"
"3355","55","Daydreamin'","Tatyana Ali","1998"
"3356","56","We're Not Making Love No More","Dru Hill","1998"
"3357","57","Semi-Charmed Life","Third Eye Blind","1998"
"3358","58","I Do","Lisa Loeb","1998"
"3359","59","Lookin' at Me","Mase featuring Puff Daddy","1998"
"3360","60","Looking Through Your Eyes","LeAnn Rimes","1998"
"3361","61","Lately","Divine","1998"
"3362","62","Quit Playing Games (With My Heart)","Backstreet Boys","1998"
"3363","63","I Still Love You","Next","1998"
"3364","64","Time After Time","INOJ","1998"
"3365","65","Are You Jimmy Ray?","Jimmy Ray","1998"
"3366","66","Cruel Summer","Ace of Base","1998"
"3367","67","I Got the Hook Up","Master P featuring Sons of Funk","1998"
"3368","68","Victory","Puff Daddy featuring The Notorious B.I.G. and Busta Rhymes","1998"
"3369","69","Too Much","Spice Girls","1998"
"3370","70","Ghetto Supastar (That Is What You Are)","Pras Michel featuring Ol' Dirty Bastard and Mýa","1998"
"3371","71","How Deep Is Your Love","Dru Hill featuring Redman","1998"
"3372","72","Friend of Mine","Kelly Price featuring R. Kelly and Ron Isley","1998"
"3373","73","Turn It Up (Remix)/Fire It Up","Busta Rhymes","1998"
"3374","74","I'll Be","Edwin McCain","1998"
"3375","75","Ray of Light","Madonna","1998"
"3376","76","All for You","Sister Hazel","1998"
"3377","77","Touch It","Monifah","1998"
"3378","78","Money, Power & Respect","The LOX featuring DMX and Lil' Kim","1998"
"3379","79","Bitter Sweet Symphony","The Verve","1998"
"3380","80","Dangerous","Busta Rhymes","1998"
"3381","81","Spice Up Your Life","Spice Girls","1998"
"3382","82","Because of You","98 Degrees","1998"
"3383","83","The Mummers' Dance","Loreena McKennitt","1998"
"3384","84","All Cried Out","Allure featuring 112","1998"
"3385","85","Still Not a Player","Big Pun featuring Joe","1998"
"3386","86","The One I Gave My Heart To","Aaliyah","1998"
"3387","87","Foolish Games / You Were Meant for Me","Jewel","1998"
"3388","88","Love You Down","INOJ","1998"
"3389","89","Do for Love","2Pac featuring Eric Williams","1998"
"3390","90","Raise the Roof","Luke featuring No Good But So Good","1998"
"3391","91","Heaven","Nu Flavor","1998"
"3392","92","The Party Continues","Jermaine Dupri featuring Da Brat and Usher","1998"
"3393","93","Sock It 2 Me","Missy Elliott featuring Da Brat","1998"
"3394","94","Butta Love","Next","1998"
"3395","95","A Rose Is Still a Rose","Aretha Franklin","1998"
"3396","96","4 Seasons of Loneliness","Boyz II Men","1998"
"3397","97","Father","LL Cool J","1998"
"3398","98","Thinkin' Bout It","Gerald Levert","1998"
"3399","99","Nobody's Supposed to Be Here","Deborah Cox","1998"
"3400","100","Westside","TQ","1998"
"3401","1","Believe","Cher","1999"
"3402","2","No Scrubs","TLC","1999"
"3403","3","Angel of Mine","Monica","1999"
"3404","4","Heartbreak Hotel","Whitney Houston featuring Faith Evans and Kelly Price","1999"
"3405","5","...Baby One More Time","Britney Spears","1999"
"3406","6","Kiss Me","Sixpence None the Richer","1999"
"3407","7","Genie in a Bottle","Christina Aguilera","1999"
"3408","8","Every Morning","Sugar Ray","1999"
"3409","9","Nobody's Supposed to Be Here","Deborah Cox","1999"
"3410","10","Livin' la Vida Loca","Ricky Martin","1999"
"3411","11","Where My Girls At?","702","1999"
"3412","12","If You Had My Love","Jennifer Lopez","1999"
"3413","13","Slide","Goo Goo Dolls","1999"
"3414","14","Have You Ever?","Brandy","1999"
"3415","15","I Want It That Way","Backstreet Boys","1999"
"3416","16","I'm Your Angel","R. Kelly and Celine Dion","1999"
"3417","17","All Star","Smash Mouth","1999"
"3418","18","Angel","Sarah McLachlan","1999"
"3419","19","Smooth","Santana featuring Rob Thomas","1999"
"3420","20","Unpretty","TLC","1999"
"3421","21","Bills, Bills, Bills","Destiny's Child","1999"
"3422","22","Save Tonight","Eagle-Eye Cherry","1999"
"3423","23","Last Kiss","Pearl Jam","1999"
"3424","24","Fortunate","Maxwell","1999"
"3425","25","All I Have to Give","Backstreet Boys","1999"
"3426","26","Bailamos","Enrique Iglesias","1999"
"3427","27","What's It Gonna Be?!","Busta Rhymes featuring Janet","1999"
"3428","28","What It's Like","Everlast","1999"
"3429","29","Fly Away","Lenny Kravitz","1999"
"3430","30","Someday","Sugar Ray","1999"
"3431","31","Lately","Divine","1999"
"3432","32","That Don't Impress Me Much","Shania Twain","1999"
"3433","33","Wild Wild West","Will Smith featuring Dru Hill and Kool Moe Dee","1999"
"3434","34","Scar Tissue","Red Hot Chili Peppers","1999"
"3435","35","Heartbreaker","Mariah Carey featuring Jay-Z","1999"
"3436","36","I Still Believe","Mariah Carey","1999"
"3437","37","The Hardest Thing","98 Degrees","1999"
"3438","38","Summer Girls","LFO","1999"
"3439","39","Can I Get A...","Jay-Z featuring Amil and Ja Rule","1999"
"3440","40","Jumper","Third Eye Blind","1999"
"3441","41","Doo Wop (That Thing)","Lauryn Hill","1999"
"3442","42","Mambo No. 5","Lou Bega","1999"
"3443","43","Sweet Lady","Tyrese","1999"
"3444","44","It's Not Right but It's Okay","Whitney Houston","1999"
"3445","45","(God Must Have Spent) A Little More Time on You","'N Sync","1999"
"3446","46","Lullaby","Shawn Mullins","1999"
"3447","47","Anywhere","112 featuring Lil Zane","1999"
"3448","48","Tell Me It's Real","K-Ci & JoJo","1999"
"3449","49","Back 2 Good","Matchbox 20","1999"
"3450","50","808","Blaque","1999"
"3451","51","She's So High","Tal Bachman","1999"
"3452","52","She's All I Ever Had","Ricky Martin","1999"
"3453","53","Miami","Will Smith","1999"
"3454","54","Hands","Jewel","1999"
"3455","55","Who Dat","JT Money featuring Solé","1999"
"3456","56","Please Remember Me","Tim McGraw","1999"
"3457","57","From This Moment On","Shania Twain","1999"
"3458","58","Love Like This","Faith Evans","1999"
"3459","59","You","Jesse Powell","1999"
"3460","60","Trippin'","Total featuring Missy Elliott","1999"
"3461","61","If You","Silk","1999"
"3462","62","Ex-Factor","Lauryn Hill","1999"
"3463","63","Give It to You","Jordan Knight","1999"
"3464","64","Black Balloon","Goo Goo Dolls","1999"
"3465","65","Spend My Life with You","Eric Benét featuring Tamia","1999"
"3466","66","These Are the Times","Dru Hill","1999"
"3467","67","I Don't Want to Miss a Thing","Mark Chesnutt","1999"
"3468","68","I Do (Cherish You)","98 Degrees","1999"
"3469","69","Because of You","98 Degrees","1999"
"3470","70","I Will Remember You","Sarah McLachlan","1999"
"3471","71","Chanté's Got a Man","Chanté Moore","1999"
"3472","72","Happily Ever After","Case","1999"
"3473","73","My Love Is Your Love","Whitney Houston","1999"
"3474","74","All Night Long","Faith Evans featuring Puff Daddy","1999"
"3475","75","Back That Azz Up","Juvenile featuring Mannie Fresh and Lil Wayne","1999"
"3476","76","Almost Doesn't Count","Brandy","1999"
"3477","77","Man! I Feel Like a Woman!","Shania Twain","1999"
"3478","78","Steal My Sunshine","Len","1999"
"3479","79","I Need to Know","Marc Anthony","1999"
"3480","80","So Anxious","Ginuwine","1999"
"3481","81","Faded Pictures","Case featuring Joe","1999"
"3482","82","Back at One","Brian McKnight","1999"
"3483","83","When a Woman's Fed Up","R. Kelly","1999"
"3484","84","How Forever Feels","Kenny Chesney","1999"
"3485","85","Amazed","Lonestar","1999"
"3486","86","Sometimes","Britney Spears","1999"
"3487","87","Ghetto Cowboy","Mo Thugs","1999"
"3488","88","Out of My Head","Fastball","1999"
"3489","89","Hard Knock Life (Ghetto Anthem)","Jay-Z","1999"
"3490","90","Jamboree","Naughty by Nature featuring Zhané","1999"
"3491","91","Take Me There","Blackstreet featuring Mýa, Mase and Blinky Blink","1999"
"3492","92","Stay the Same","Joey McIntyre","1999"
"3493","93","A Lesson in Leavin'","Jo Dee Messina","1999"
"3494","94","Iris","Goo Goo Dolls","1999"
"3495","95","Satisfy You","Puff Daddy featuring R. Kelly","1999"
"3496","96","Better Days (And the Bottom Drops Out)","Citizen King","1999"
"3497","97","Music of My Heart","'N Sync and Gloria Estefan","1999"
"3498","98","Write This Down","George Strait","1999"
"3499","99","When You Believe","Whitney Houston and Mariah Carey","1999"
"3500","100","(God Must Have Spent) A Little More Time on You","Alabama and 'N Sync","1999"
"3501","1","Breathe","Faith Hill","2000"
"3502","2","Smooth","Santana featuring Rob Thomas","2000"
"3503","3","Maria Maria","Santana featuring The Product G&B","2000"
"3504","4","I Wanna Know","Joe","2000"
"3505","5","Everything You Want","Vertical Horizon","2000"
"3506","6","Say My Name","Destiny's Child","2000"
"3507","7","I Knew I Loved You","Savage Garden","2000"
"3508","8","Amazed","Lonestar","2000"
"3509","9","Bent","Matchbox Twenty","2000"
"3510","10","He Wasn't Man Enough","Toni Braxton","2000"
"3511","11","Higher","Creed","2000"
"3512","12","Try Again","Aaliyah","2000"
"3513","13","Jumpin', Jumpin'","Destiny's Child","2000"
"3514","14","Thong Song","Sisqó","2000"
"3515","15","Kryptonite","3 Doors Down","2000"
"3516","16","There You Go","Pink","2000"
"3517","17","Music","Madonna","2000"
"3518","18","Doesn't Really Matter","Janet Jackson","2000"
"3519","19","What a Girl Wants","Christina Aguilera","2000"
"3520","20","Back at One","Brian McKnight","2000"
"3521","21","Bye Bye Bye","'N Sync","2000"
"3522","22","You Sang to Me","Marc Anthony","2000"
"3523","23","I Need to Know","Marc Anthony","2000"
"3524","24","Get It On Tonite","Montell Jordan","2000"
"3525","25","Incomplete","Sisqó","2000"
"3526","26","I Try","Macy Gray","2000"
"3527","27","It's Gonna Be Me","'N Sync","2000"
"3528","28","That's The Way It Is","Celine Dion","2000"
"3529","29","Country Grammar (Hot Shit)","Nelly","2000"
"3530","30","Bring It All to Me","Blaque","2000"
"3531","31","Show Me the Meaning of Being Lonely","Backstreet Boys","2000"
"3532","32","Hot Boyz","Missy Elliott featuring Nas, Eve and Q-Tip","2000"
"3533","33","Back Here","BBMak","2000"
"3534","34","It Feels So Good","Sonique","2000"
"3535","35","Absolutely (Story of a Girl)","Nine Days","2000"
"3536","36","With Arms Wide Open","Creed","2000"
"3537","37","Be with You","Enrique Iglesias","2000"
"3538","38","Come On Over Baby (All I Want Is You)","Christina Aguilera","2000"
"3539","39","No More","Ruff Endz","2000"
"3540","40","All The Small Things","Blink 182","2000"
"3541","41","The Way You Love Me","Faith Hill","2000"
"3542","42","I Turn To You","Christina Aguilera","2000"
"3543","43","Never Let You Go","Third Eye Blind","2000"
"3544","44","I Need You","LeAnn Rimes","2000"
"3545","45","Thank God I Found You","Mariah Carey featuring Joe and 98 Degrees","2000"
"3546","46","Let's Get Married","Jagged Edge","2000"
"3547","47","My Love Is Your Love","Whitney Houston","2000"
"3548","48","Then The Morning Comes","Smash Mouth","2000"
"3549","49","Blue (Da Ba Dee)","Eiffel 65","2000"
"3550","50","Desert Rose","Sting featuring Cheb Mami","2000"
"3551","51","The Real Slim Shady","Eminem","2000"
"3552","52","Most Girls","Pink","2000"
"3553","53","Wifey","Next","2000"
"3554","54","Wonderful","Everclear","2000"
"3555","55","Oops!... I Did It Again","Britney Spears","2000"
"3556","56","I Wanna Love You Forever","Jessica Simpson","2000"
"3557","57","Give Me Just One Night (Una Noche)","98 Degrees","2000"
"3558","58","Take a Picture","Filter","2000"
"3559","59","Otherside","Red Hot Chili Peppers","2000"
"3560","60","Big Pimpin'","Jay-Z featuring UGK","2000"
