rankid,rank,song,artist,year
"156","56","Homeward Bound","Simon & Garfunkel","1966"
"157","57","Did You Ever Have to Make Up Your Mind?","The Lovin' Spoonful","1966"
"158","58","Barefootin'","Robert Parker","1966"
"159","59","Uptight (Everything's Alright)","Stevie Wonder","1966"
"160","60","Bang Bang (My Baby Shot Me Down)","Cher","1966"
"161","61","Sloop John B","The Beach Boys","1966"
"162","62","19th Nervous Breakdown","The Rolling Stones","1966"
"163","63","Wipe Out","The Surfaris","1966"
"164","64","Psychotic Reaction","Count Five","1966"
"165","65","Beauty Is Only Skin Deep","The Temptations","1966"
"166","66","No Matter What Shape (Your Stomach's In)","The T-Bones","1966"
"167","67","Just Like Me","Paul Revere & the Raiders","1966"
"168","68","Love Makes the World Go Round","Deon Jackson","1966"
"169","69","The Pied Piper","Crispian St. Peters","1966"
"170","70","Coming On Strong","Brenda Lee","1966"
"171","71","Somewhere My Love","Ray Conniff Singers","1966"
"172","72","Almost Persuaded","David Houston","1966"
"173","73","If I Were a Carpenter","Bobby Darin","1966"
"174","74","Don't Mess with Bill","The Marvelettes","1966"
"175","75","Cherry, Cherry","Neil Diamond","1966"
"176","76","Working In The Coal Mine","Lee Dorsey","1966"
"177","77","Message to Michael","Dionne Warwick","1966"
"178","78","Love Is a Hurtin' Thing","Lou Rawls","1966"
"179","79","Barbara Ann","The Beach Boys","1966"
"180","80","Gloria","The Shadows of Knight","1966"
"181","81","My World Is Empty Without You","The Supremes","1966"
"182","82","Rainy Day Women #12 & 35","Bob Dylan","1966"
"183","83","Guantanamera","The Sandpipers","1966"
"184","84","Land of 1000 Dances","Wilson Pickett","1966"
"185","85","Oh How Happy","The Shades of Blue","1966"
"186","86","Woman","Peter and Gordon","1966"
"187","87","You Baby","The Turtles","1966"
"188","88","Five O'Clock World","The Vogues","1966"
"189","89","Black Is Black","Los Bravos","1966"
"190","90","Nowhere Man","The Beatles","1966"
"191","91","Dandy","Herman's Hermits","1966"
"192","92","Baby Scratch My Back","Slim Harpo","1966"
"193","93","She's Just My Style","Gary Lewis & The Playboys","1966"
"194","94","The More I See You","Chris Montez","1966"
"195","95","I Fought the Law","Bobby Fuller Four","1966"
"196","96","Yellow Submarine","The Beatles","1966"
"197","97","Hungry","Paul Revere & the Raiders","1966"
"198","98","Zorba the Greek","Herb Alpert and the Tijuana Brass","1966"
"199","99","Shapes of Things","The Yardbirds","1966"
"200","100","634-5789 (Soulsville, U.S.A.)","Wilson Pickett","1966"
"201","1","To Sir With Love","Lulu","1967"
"202","2","The Letter","The Box Tops","1967"
"203","3","Ode to Billie Joe","Bobbie Gentry","1967"
"204","4","Windy","The Association","1967"
"205","5","I'm a Believer","The Monkees","1967"
"206","6","Light My Fire","The Doors","1967"
"207","7","Somethin' Stupid","Frank & Nancy Sinatra","1967"
"208","8","Happy Together","The Turtles","1967"
"210","10","Can't Take My Eyes off You","Frankie Valli","1967"
"211","11","Little Bit O' Soul","The Music Explosion","1967"
"212","12","I Think We're Alone Now","Tommy James and the Shondells","1967"
"213","13","Respect","Aretha Franklin","1967"
"214","14","I Was Made to Love Her","Stevie Wonder","1967"
"215","15","Come Back When You Grow Up","Bobby Vee","1967"
"216","16","Kind of a Drag","The Buckinghams","1967"
"217","17","Sweet Soul Music","Arthur Conley","1967"
"218","18","Expressway to Your Heart","The Soul Survivors","1967"
"219","19","Soul Man","Sam & Dave","1967"
"220","20","Never My Love","The Association","1967"
"221","21","Apples, Peaches, Pumpkin Pie","Jay & the Techniques","1967"
"222","22","Come on Down to My Boat","Every Mother's Son","1967"
"223","23","Incense and Peppermints","Strawberry Alarm Clock","1967"
"224","24","Ruby Tuesday","The Rolling Stones","1967"
"225","25","It Must Be Him","Vikki Carr","1967"
"226","26","Love Is Here and Now You're Gone","The Supremes","1967"
"227","27","For What It's Worth","Buffalo Springfield","1967"
"228","28","Gimme Little Sign","Brenton Wood","1967"
"229","29","The Happening","The Supremes","1967"
"230","30","All You Need Is Love","The Beatles","1967"
"231","31","Release Me","Engelbert Humperdinck","1967"
"232","32","Your Precious Love","Marvin Gaye & Tammi Terrell","1967"
"233","33","Somebody to Love","Jefferson Airplane","1967"
"234","34","Get on Up","The Esquires","1967"
"235","35","Brown Eyed Girl","Van Morrison","1967"
"236","36","Jimmy Mack","Martha and the Vandellas","1967"
"237","37","I Got Rhythm","The Happenings","1967"
